,smart_basket
M56255,15668379;15668460;15669864;15668688;15668468;15670157;15669778;15669769
M56309,15668460;7572254;15668378;15668377;15668381;15668684;15668458;15669772;15668469;15669769;7640186;15669885
M56368,15668460;15668473;15668467;15668685;15669780;15668688;15668379;15669864
M56489,7625556;7580823;15669780;15669777;15669872;15669880
M56516,7580823;7623116;15668494;15668688;15668478;15669872;34986449;15668594;15668379;15669880;7617882;15669886;7630963
M56897,15668478;15668467;15668688;15668379;15668462;15669965
M57093,34992845;34989594;15668377;15668473;15669774;34989441;92379317;34986328;15669883;7625563;34986438;15668465;7580802
M57327,15668383;15669811;15668416;15669776;15669832;15669781;15669773;7580823;15669880;15669790;15668381
M57354,15668462;15668685;15668542;15668457;15668459;7569799;7572313
M58761,15668379;15668478;15668381;15668688;15668460;15668449
M58939,15669783;15669880;15669770;15669856;7572979;15668465;7572430
M59012,15668416;15668460;15670251;15668463
M59232,15669832;7624792;15669870;15669781;15669857;15669878;15669886;15669771;15669814;15669767;15670270;7624770;15669760;15669873;15669863;15669821;15669835;15669772;15669860;15669997;15669823;15669799;7572432;15669998
M62656,15668381;15668463;15668477;15668469;15668460;15668453;15668685;15668380;15668377
M62833,15668379;15669856;15668381;7569799;15669864;7587649
M63404,15668460;15668469;15668381;15668462;15669857;15669817;15669884
M64055,15668416;15668462;15668460;15668688;15668378;15668467;15668453;7580089;7572300;15668458
M64379,15668478;7629391;15668688;15668465;15668685;7753739;7587658
